RefSeq IDs	Approved symbol
	AKIRIN2P1
NM_030767	AKNA
NM_152763	AKNAD1
NM_006066	AKR1A1
NM_001628	AKR1B1
NG_006432	AKR1B1P1
	AKR1B1P2
NG_007132	AKR1B1P3
NG_006989	AKR1B1P4
NG_007013	AKR1B1P5
	AKR1B1P6
NG_009664	AKR1B1P7
NG_009682	AKR1B1P8
NM_020299	AKR1B10
NG_022180	AKR1B10P1
NG_022495	AKR1B10P2
	AKR1B11
	AKR1B15
NM_001353	AKR1C1
NM_001354	AKR1C2
NM_003739	AKR1C3
NM_001818	AKR1C4
	AKR1C5P
NR_026743	AKR1C6P
NG_023403	AKR1C7P
NM_001395972	AKR1C8
NM_005989	AKR1D1
NG_002683	AKR1D1P1
NM_031436	AKR1E2
NM_003689	AKR7A2
	AKR7A2P1
NG_022631	AKR7A2P2
NM_012067	AKR7A3
NM_201252	AKR7L
NM_005163	AKT1
NM_032375	AKT1S1
NM_001626	AKT2
NM_181690	AKT3
	AKT3-IT1
NM_022476	AKTIP
	AKTIPP1
NG_030076	AKTIPP2
NG_021800	AKTIPP3
	AKU
NM_001003945	ALAD
	ALAS1
NM_000032	ALAS2
	ALAS3
NM_000477	ALB
NM_001627	ALCAM
	ALD
	ALDH1A1
	ALDH1A2
NR_147215	ALDH1A2-AS1
NM_000693	ALDH1A3
NR_135827	ALDH1A3-AS1
	ALDH1B1
NM_012190	ALDH1L1
	ALDH1L1-AS1
	ALDH1L1-AS2
NM_001034173	ALDH1L2
NM_000690	ALDH2
NM_000691	ALDH3A1
	ALDH3A2
NM_000694	ALDH3B1
NM_000695	ALDH3B2
	ALDH4A1
	ALDH5A1
	ALDH6A1
NM_001182	ALDH7A1
	ALDH7A1P1
	ALDH7A1P2
	ALDH7A1P3
	ALDH7A1P4
	ALDH8A1
	ALDH9A1
NM_153329	ALDH16A1
NM_002860	ALDH18A1
	ALDL1
NM_000034	ALDOA
	ALDOAP1
	ALDOAP2
	ALDOB
	ALDOC
	ALDOC-AS1
	ALDR1
