RefSeq IDs	Approved symbol
NM_178557	NAT8L
NM_015654	NAT9
NM_024662	NAT10
NM_020378	NAT14
NM_198571	NAT16
NM_152914	NATD1
	NATP
NM_020443	NAV1
NM_145117	NAV2
	NAV2-AS1
	NAV2-AS2
	NAV2-AS3
	NAV2-AS4
	NAV2-AS5
	NAV2-IT1
NM_001024383	NAV3
	NAV3-AS1
NM_018210	NAXD
	NAXD-AS1
NM_144772	NAXE
	NAXEP1
	NAXEP2
NM_015909	NBAS
NR_034143	NBAT1
	NBCCS
NM_001348129	NBDY
NM_015678	NBEA
	NBEA-AS1
NM_001114132	NBEAL1
NM_015175	NBEAL2
NR_027992	NBEAP1
NG_023729	NBEAP2
NG_027403	NBEAP3
NG_025284	NBEAP4
	NBEAP5
NG_027320	NBEAP6
	NBIA1
NM_005380	NBL1
NM_001024688	NBN
	NBP1
NM_017940	NBPF1
	NBPF2P
NM_032264	NBPF3
NM_152488	NBPF4
NG_028895	NBPF5P
NM_001143988	NBPF6
NR_171566	NBPF7P
NM_001037501	NBPF8
NM_001037675	NBPF9
NM_001039703	NBPF10
NM_183372	NBPF11
NM_001278141	NBPF12
	NBPF13P
NM_015383	NBPF14
NM_173638	NBPF15
	NBPF16
	NBPF17P
	NBPF18P
	NBPF19
	NBPF20
XM_497917	NBPF21P
XM_208333	NBPF22P
	NBPF23P
	NBPF24
	NBPF25P
	NBPF26
NM_005899	NBR1
NR_003108	NBR2
	NCA
	NCAD
	NCAL1
	NCALD
NM_000615	NCAM1
	NCAM1-AS1
	NCAM1-AS2
NM_004540	NCAM2
NM_004386	NCAN
NM_014865	NCAPD2
NG_026451	NCAPD2P1
NM_015261	NCAPD3
NM_022346	NCAPG
NM_017760	NCAPG2
	NCAPGP1
	NCAPGP2
NM_015341	NCAPH
NM_152299	NCAPH2
NM_002486	NCBP1
NM_007362	NCBP2
	NCBP2-AS1
NM_138487	NCBP2AS2
NM_001348372	NCBP2L
NM_018553	NCBP3
NM_001001414	NCCRP1
NM_014284	NCDN
NM_020792	NCEH1
NM_000265	NCF1
NR_003186	NCF1B
NR_003187	NCF1C
NM_000433	NCF2
NM_000631	NCF4
	NCF4-AS1
	NCK
NM_006153	NCK1
NR_110175	NCK1-DT
NM_003581	NCK2
	NCK2-AS1
NM_205842	NCKAP1
NM_005337	NCKAP1L
NG_033245	NCKAP1P1
NM_207481	NCKAP5
NR_135572	NCKAP5-AS1
NR_110294	NCKAP5-AS2
	NCKAP5-IT1
NM_001037806	NCKAP5L
NM_016453	NCKIPSD
NM_005381	NCL
NM_020170	NCLN
NG_012793	NCLP1
NG_016573	NCLP2
NM_001010980	NCMAP
	NCMAP-DT
NM_147223	NCOA1
	NCOA2
NM_006534	NCOA3
NM_005437	NCOA4
NG_002594	NCOA4P1
	NCOA4P2
	NCOA4P3
	NCOA4P4
NM_020967	NCOA5
	NCOA5LP
NM_014071	NCOA6
NM_001199619	NCOA7
	NCOA7-AS1
NM_006311	NCOR1
	NCOR1P1
	NCOR1P2
	NCOR1P3
	NCOR1P4
NM_006312	NCOR2
	NCOR2-AS1
	NCR1
	NCR2
	NCR3
NM_001202439	NCR3LG1
	NCRNA00055
	NCRNA00056
	NCRNA00090
	NCRNA00091
	NCRNA00098
	NCRNA00103
	NCRNA00104
	NCRNA00185
	NCRNA00220
	NCRNA00250
	NCRNA00270
	NCRNA00270B
	NCRNA00291
NR_028375	NCRUPAR
NM_014286	NCS1
NM_015331	NCSTN
	NCSTNP1
	NCX1
NM_018087	NDC1
NM_006101	NDC80
NM_017668	NDE1
	NDE1P1
	NDE1P2
NM_030808	NDEL1
NM_030571	NDFIP1
	NDFIP1P1
	NDFIP2
	NDFIP2-AS1
NM_002487	NDN
NM_024574	NDNF
	NDNF-AS1
	NDNL1
NM_014434	NDOR1
NM_000266	NDP
	NDP-AS1
	NDRG1
	NDRG2
	NDRG3
	NDRG4
NM_001543	NDST1
NR_105061	NDST1-AS1
NM_003635	NDST2
NM_004784	NDST3
	NDST3-AS1
NM_022569	NDST4
NM_004541	NDUFA1
NM_002488	NDUFA2
NM_004542	NDUFA3
NG_030059	NDUFA3P1
	NDUFA3P2
NG_030212	NDUFA3P3
	NDUFA3P4
	NDUFA3P5
	NDUFA3P6
NM_005000	NDUFA5
	NDUFA5P1
	NDUFA5P2
	NDUFA5P3
	NDUFA5P4
	NDUFA5P5
	NDUFA5P6
	NDUFA5P7
	NDUFA5P8
	NDUFA5P9
	NDUFA5P10
	NDUFA5P11
	NDUFA5P12
NM_002490	NDUFA6
NR_034118	NDUFA6-DT
NM_005001	NDUFA7
NM_014222	NDUFA8
	NDUFA8P1
NM_005002	NDUFA9
NG_002366	NDUFA9P1
NM_004544	NDUFA10
NM_175614	NDUFA11
NM_018838	NDUFA12
NG_027984	NDUFA12P1
NM_015965	NDUFA13
NM_005003	NDUFAB1
	NDUFAB1P1
NM_016013	NDUFAF1
	NDUFAF1P1
NM_174889	NDUFAF2
NG_006534	NDUFAF2P1
NG_007724	NDUFAF2P2
NM_199069	NDUFAF3
NM_014165	NDUFAF4
NR_036507	NDUFAF4P1
	NDUFAF4P2
	NDUFAF4P3
	NDUFAF4P4
NM_001039375	NDUFAF5
NM_152416	NDUFAF6
NM_144736	NDUFAF7
NM_001086521	NDUFAF8
NM_004545	NDUFB1
NG_008709	NDUFB1P1
NG_016728	NDUFB1P2
NM_004546	NDUFB2
NR_024454	NDUFB2-AS1
	NDUFB2P1
NM_002491	NDUFB3
NG_000954	NDUFB3P1
	NDUFB3P2
	NDUFB3P3
	NDUFB3P4
NG_000958	NDUFB3P5
NM_004547	NDUFB4
NG_030111	NDUFB4P1
	NDUFB4P2
NG_030100	NDUFB4P3
	NDUFB4P4
	NDUFB4P5
	NDUFB4P6
	NDUFB4P7
	NDUFB4P8
	NDUFB4P9
	NDUFB4P10
	NDUFB4P11
NG_030266	NDUFB4P12
NM_002492	NDUFB5
NG_022040	NDUFB5P1
NG_026737	NDUFB5P2
NM_002493	NDUFB6
NM_004146	NDUFB7
NM_005004	NDUFB8
NG_002595	NDUFB8P1
XR_015999	NDUFB8P2
	NDUFB8P3
NM_005005	NDUFB9
	NDUFB9P1
NG_030054	NDUFB9P2
NG_022402	NDUFB9P3
NM_004548	NDUFB10
NG_022109	NDUFB10P1
	NDUFB10P2
NM_019056	NDUFB11
NG_009688	NDUFB11P1
NM_002494	NDUFC1
NM_004549	NDUFC2
	NDUFC2-KCTD14
NM_005006	NDUFS1
NM_004550	NDUFS2
	NDUFS2L
NM_004551	NDUFS3
NM_002495	NDUFS4
NM_004552	NDUFS5
	NDUFS5P1
	NDUFS5P2
	NDUFS5P3
	NDUFS5P4
	NDUFS5P5
	NDUFS5P6
	NDUFS5P7
NM_004553	NDUFS6
	NDUFS6P1
NM_024407	NDUFS7
	NDUFS7-AS1
NM_002496	NDUFS8
NM_007103	NDUFV1
NR_130935	NDUFV1-DT
NM_021074	NDUFV2
	NDUFV2-AS1
	NDUFV2P1
	NDUFV3
NR_028272	NEAT1
NM_004543	NEB
NM_006393	NEBL
NR_046283	NEBL-AS1
	NEC1
	NEC2
NM_022351	NECAB1
NM_019065	NECAB2
	NECAB3
NM_015509	NECAP1
	NECAP1P1
	NECAP1P2
NM_018090	NECAP2
	NECTIN1
	NECTIN1-AS1
NR_120587	NECTIN1-DT
NM_002856	NECTIN2
	NECTIN2P1
NM_015480	NECTIN3
	NECTIN3-AS1
NM_030916	NECTIN4
	NECTIN4-AS1
	NEDD1
	NEDD2
	NEDD3
NM_198400	NEDD4
	NEDD4L
	NEDD4L-AS1
	NEDD6
	NEDD7
NM_006156	NEDD8
NM_001199823.1	NEDD8-MDP1
NG_028020	NEDD8P1
NM_006403	NEDD9
	NEDD10
	NEF4
	NEF5
NM_021076	NEFH
	NEFHP1
NG_021983	NEFHP2
NM_006158	NEFL
	NEFLL1
	NEFLL2
NG_002813	NEFLP1
NM_005382	NEFM
NG_025505	NEFMP1
	NEGF1
	NEGF2
NM_173808	NEGR1
	NEGR1-AS1
	NEGR1-IT1
NM_024608	NEIL1
	NEIL1-AS1
NM_145043	NEIL2
NM_018248	NEIL3
	NEIL3-AS1
	NEK1
NM_002497	NEK2
	NEK2-DT
NG_002554	NEK2P1
NG_016726	NEK2P2
NG_007923	NEK2P3
NG_016766	NEK2P4
	NEK3
NM_003157	NEK4
	NEK4P1
NG_026146	NEK4P2
NG_025511	NEK4P3
NM_199289	NEK5
NM_014397	NEK6
NM_133494	NEK7
	NEK8
NM_033116	NEK9
NM_152534	NEK10
NM_024800	NEK11
	NEK11-AS1
NM_005663	NELFA
NM_015456	NELFB
NM_198976	NELFCD
	NELFE
NM_006157	NELL1
	NELL1-AS1
	NELL1-AS2
NM_006159	NELL2
	NEM1
	NEM2
NM_004713	NEMF
NM_015257	NEMP1
NM_001142645	NEMP2
	NEMP2-DT
NM_013349	NENF
	NENFP1
	NENFP2
	NENFP3
NM_002499	NEO1
	NEP
NG_008306	NEPNP
	NEPRO-AS1
NM_006617	NES
	NET1
NM_005863	NET1
NM_138999	NETO1
NR_134647	NETO1-DT
NM_018092	NETO2
	NEU1
NM_005383	NEU2
NM_006656	NEU3
NM_080741	NEU4
	NEURL1
NR_120675	NEURL1-AS1
	NEURL1B
	NEURL2
NM_138397	NEURL3
NM_032442	NEURL4
NM_002500	NEUROD1
NM_006160	NEUROD2
	NEUROD3
	NEUROD4
NM_022728	NEUROD6
NM_006161	NEUROG1
NM_024019	NEUROG2
NR_161159	NEUROG2-AS1
NM_020999	NEUROG3
NM_001008537	NEXMIF
NM_144573	NEXN
NR_103535	NEXN-AS1
NM_000267	NF1
	NF1L3
	NF1P1
	NF1P2
NG_009867	NF1P3
NG_007891	NF1P4
NG_007889	NF1P5
NG_007890	NF1P6
NG_007892	NF1P7
NG_007888	NF1P8
	NF1P9
	NF1P10
	NF1P11
	NF1P12
NM_000268	NF2
NM_145912	NFAM1
NM_001005388	NFASC
NM_138714	NFAT5
NM_172390	NFATC1
NM_012340	NFATC2
NM_032815	NFATC2IP
	NFATC2IP-AS1
NM_004555	NFATC3
NM_004554	NFATC4
	NFATC5
NM_006163	NFE2
NM_003204	NFE2L1
	NFE2L1-DT
NM_006164	NFE2L2
	NFE2L3
NG_011711	NFE2L3P1
NG_029197	NFE2L3P2
NR_166510	NFE4
NM_005595	NFIA
NR_104180	NFIA-AS1
	NFIA-AS2
NM_005596	NFIB
	NFIB-AS1
NM_005597	NFIC
NM_005384	NFIL3
NM_001378599	NFILZ
NM_002501	NFIX
	NFIX-AS1
	NFIXL1
	NFIXL2
	NFIXL3
	NFIXL4
	NFIXL5
NM_003998	NFKB1
	NFKB1-AS1
	NFKB1-AS2
	NFKB2
	NFKB3
NM_020529	NFKBIA
NM_002503	NFKBIB
NM_032721	NFKBID
	NFKBIE
NM_005007	NFKBIL1
NM_031419	NFKBIZ
NM_006165	NFRKB
NM_021100	NFS1
NM_015700	NFU1
	NFU1P1
	NFU1P2
	NFX1
NM_152995	NFXL1
	NFYA
NG_007867	NFYAP1
	NFYB
	NFYBP1
NM_014223	NFYC
	NFYC-AS1
NG_022655	NFYCP1
NR_036691	NFYCP2
NM_021257	NGB
NM_001042635	NGDN
NM_019850	NGEF
NM_002506	NGF
	NGF-AS1
	NGFR
NR_103773	NGFR-AS1
	NGL
	NGLY1
	NGRN
NG_012756	NGRNP1
NG_022310	NGRNP2
NG_006957	NGRNP3
	NGRNP4
	NHCP1
	NHCP2
	NHE1
	NHE2
	NHE3
	NHE3P
NR_027994	NHEG1
NM_024782	NHEJ1
	NHERF1
	NHERF2
NM_024791	NHERF4
	NHIP
NM_005598	NHLH1
NM_005599	NHLH2
	NHLRC1
NM_198514	NHLRC2
NM_001012754	NHLRC3
NM_176677	NHLRC4
NM_017838	NHP2
	NHP2P1
	NHP2P2
NM_198270	NHS
	NHS-AS1
NM_020464	NHSL1
NR_033896	NHSL1-AS1
NM_001013627	NHSL2
	NHSL3
	NIBAN1
NM_022833	NIBAN2
NM_173544	NIBAN3
NM_032316	NICN1
	NICN1-AS1
NG_005534	NICN2P
NM_001141936	NICOL1
NM_002508	NID1
	NID2
	NIDDM1
	NIDDM2
NM_021824	NIF3L1
NM_032390	NIFK
	NIFK-AS1
NG_009461	NIFKP1
NG_009465	NIFKP2
NG_009474	NIFKP3
NG_009467	NIFKP4
NG_009470	NIFKP5
NG_009462	NIFKP6
	NIFKP7
NG_009464	NIFKP8
	NIFKP9
	NIHCOLE
NM_153361	NIM1K
	NIM1K-DT
NM_182946	NIN
NM_004148	NINJ1
NM_016533	NINJ2
NR_122124	NINJ2-AS1
NM_025176	NINL
	NIP1L
NM_016101	NIP7
NG_023276	NIP7P1
NG_022272	NIP7P2
NG_025858	NIP7P3
NM_144599	NIPA1
NM_030922	NIPA2
	NIPA2P1
	NIPA2P2
	NIPA2P3
	NIPA2P4
	NIPA2P5
NM_207330	NIPAL1
NG_021978	NIPAL1P1
NM_024759	NIPAL2
	NIPAL2-AS1
NM_020448	NIPAL3
NM_001099287	NIPAL4
NR_136204	NIPAL4-DT
NM_015384	NIPBL
NR_046262	NIPBL-DT
	NIPSNAP1
NM_001483	NIPSNAP2
NM_015469	NIPSNAP3A
NM_018376	NIPSNAP3B
NM_007184	NISCH
	NIT1
NM_020202	NIT2
NM_024522	NKAIN1
NG_021262	NKAIN1P1
NG_021263	NKAIN1P2
NM_001040214	NKAIN2
NM_001304533	NKAIN3
	NKAIN3-IT1
NM_152864	NKAIN4
NM_024528	NKAP
NM_018195	NKAPD1
	NKAPL
NR_027131	NKAPP1
	NKD1
	NKD1-AS1
NM_033120	NKD2
	NKG2
NM_005601	NKG7
NR_131157	NKILA
NM_020345	NKIRAS1
NM_017595	NKIRAS2
NM_198478	NKPD1
	NKR
NM_017544	NKRF
	NKS1
NM_005385	NKTR
NM_001290079	NKX1-1
NM_001146340	NKX1-2
NM_003317	NKX2-1
NR_103710	NKX2-1-AS1
	NKX2-2
	NKX2-2-AS1
	NKX2-3
	NKX2-4
	NKX2-5
NM_001136271	NKX2-6
	NKX2-8
	NKX2A
	NKX3-1
	NKX3-2
NM_006168	NKX6-1
	NKX6-1-DT
	NKX6-2
NM_152568	NKX6-3
NM_018096	NLE1
NM_014932	NLGN1
	NLGN1-AS1
NM_020795	NLGN2
NM_018977	NLGN3
NM_020742	NLGN4X
NM_014893	NLGN4Y
	NLGN4Y-AS1
NM_016231	NLK
	NLN
NM_178844	NLRC3
NM_021209	NLRC4
NM_032206	NLRC5
NM_033004	NLRP1
NM_017852	NLRP2
NM_001319967	NLRP2B
NM_004895	NLRP3
NG_002753	NLRP3P1
NM_134444	NLRP4
NM_153447	NLRP5
NM_138329	NLRP6
NM_139176	NLRP7
NG_02676	NLRP7P1
NM_176811	NLRP8
NM_176820	NLRP9
NG_002754	NLRP9P1
NM_176821	NLRP10
NM_145007	NLRP11
NM_144687	NLRP12
NM_176810	NLRP13
NM_176822	NLRP14
NM_170722	NLRX1
	NLVCF
	NM
NM_021077	NMB
	NMBR
	NMBR-AS1
NM_015938	NMD3
	NMD3P1
	NMD3P2
	NMDAR1
	NMDAR2A
	NMDAR2B
	NMDAR2C
	NMDARA1
NM_000269	NME1
	NME1-NME2
	NME1P1
NM_002512	NME2
NR_001577	NME2P1
NG_021562	NME2P2
NG_027863	NME2P3
NM_002513	NME3
NM_005009	NME4
NM_003551	NME5
NM_005793	NME6
NM_013330	NME7
NM_016616	NME8
NM_178130	NME9
NM_004688	NMI
	NMNAT1
	NMNAT1P1
	NMNAT1P2
	NMNAT1P3
	NMNAT1P4
	NMNAT1P5
	NMNAT2
NM_178177	NMNAT3
	NMOR1
NM_020677	NMRAL1
NR_033752	NMRAL2P
NM_017881	NMRK1
NM_014446, NM_170678	NMRK2
NM_001011717	NMS
NM_021079	NMT1
NM_004808	NMT2
	NMTRL-TAA1-1
	NMTRL-TAA2-1
	NMTRL-TAA3-1
	NMTRL-TAA4-1
	NMTRL-TAA5-1
	NMTRL-TAA6-1
	NMTRP-TGG1-1
	NMTRQ-CTG1-1
	NMTRQ-TTG1-1
	NMTRQ-TTG2-1
	NMTRQ-TTG3-1
	NMTRQ-TTG4-1
	NMTRQ-TTG5-1
	NMTRQ-TTG6-1
	NMTRQ-TTG7-1
	NMTRQ-TTG8-1
	NMTRQ-TTG9-1
	NMTRQ-TTG10-1
	NMTRQ-TTG11-1
	NMTRQ-TTG12-1
	NMTRQ-TTG13-1
	NMTRQ-TTG14-1
	NMTRQ-TTG15-1
	NMTRS-TGA1-1
	NMTRS-TGA2-1
	NMTRS-TGA3-1
	NMTRV-TAC1-1
	NMU
	NMU-AS1
NM_006056	NMUR1
NM_020167	NMUR2
NM_005386	NNAT
NM_006169	NNMT
	NNO1
NM_182977	NNT
NR_073113	NNT-AS1
NM_032313	NOA1
NM_014062	NOB1
NM_001080413	NOBOX
NM_015658	NOC2L
	NOC2LP1
	NOC2LP2
NM_022451	NOC3L
NM_024078	NOC4L
NM_012118	NOCT
	NOD1
NM_022162	NOD2
NM_018055	NODAL
NM_005450	NOG
	NOL2
	NOL3
NM_003787	NOL4
NM_080616	NOL4L
	NOL4L-AS1
NR_034152	NOL4L-DT
NM_022917	NOL6
NM_016167	NOL7
NM_017948	NOL8
	NOL8P1
NM_024654	NOL9
NM_024894	NOL10
NM_015462	NOL11
	NOL11P1
NM_024313	NOL12
NM_004741	NOLC1
NG_022581	NOLC1P1
NM_138400	NOM1
	NOMO1
NM_001004060	NOMO2
NM_001004067	NOMO3
NM_007363	NONO
	NONOP1
	NONOP2
NM_006170	NOP2
	NOP9
NM_018648	NOP10
NM_003703	NOP14
NR_015453	NOP14-AS1
NM_016391	NOP16
	NOP35P1
NM_015710	NOP53
	NOP53-AS1
NM_006392	NOP56
NG_006572	NOP56P1
NG_023280	NOP56P2
	NOP56P3
NM_015934	NOP58
NM_152318	NOPCHAP1
NR_027451	NORAD
	NOS1
NM_014697	NOS1AP
NM_000625	NOS2
	NOS2P1
NG_001568	NOS2P2
NG_002717	NOS2P3
	NOS2P4
NM_000603	NOS3
	NOSIP
NM_052946	NOSTRIN
	NOT1
	NOT2
	NOT3
	NOT4
NM_017617	NOTCH1
NM_024408	NOTCH2
NM_203458	NOTCH2NLA
	NOTCH2NLB
	NOTCH2NLC
NM_001396072	NOTCH2NLR
	NOTCH2P1
NM_000435	NOTCH3
	NOTCH4
NM_001134462	NOTO
NM_178493	NOTUM
NM_006491	NOVA1
NR_147061	NOVA1-DT
NM_002516	NOVA2
	NOVA3
NM_007052	NOX1
	NOX3
NM_016931	NOX4
	NOX4P1
NM_024505	NOX5
	NOXA1
	NOXO1
NM_138791	NOXRED1
NM_018958	NPAP1
	NPAP1L
NG_025503	NPAP1P1
NG_025525	NPAP1P2
NG_025530	NPAP1P3
NG_028721	NPAP1P4
NG_023843	NPAP1P5
NG_028726	NPAP1P6
	NPAP1P7
	NPAP1P8
NR_040117	NPAP1P9
	NPAP60L
NM_002517	NPAS1
	NPAS2
NR_110213	NPAS2-AS1
	NPAS3
NM_178864	NPAS4
NM_002519	NPAT
NM_148896	NPB
NM_005285	NPBWR1
NM_005286	NPBWR2
NM_000271	NPC1
NM_013389	NPC1L1
NM_006432	NPC2
	NPCDR1
NM_015392	NPDC1
NM_024663	NPEPL1
NM_006310	NPEPPS
	NPEPPSP1
	NPEPPSP2
NM_003717	NPFF
NM_022146	NPFFR1
NM_004885	NPFFR2
	NPH1
	NPHL1
	NPHL2
NM_000272	NPHP1
	NPHP2
NM_153240	NPHP3
	NPHP3-ACAD11
NR_002811	NPHP3-AS1
	NPHP4
	NPHS1
	NPHS2
NM_006985	NPIPA1
	NPIPA2
	NPIPA3
	NPIPA5
	NPIPA6
	NPIPA7
	NPIPA8
NM_001401710	NPIPA9
NG_023368	NPIPB1P
NM_001355514	NPIPB2
NM_130464	NPIPB3
	NPIPB4
NM_001135865	NPIPB5
NM_001282524	NPIPB6
NM_001396030	NPIPB7
NM_001310136	NPIPB8
	NPIPB9
NG_023380	NPIPB10P
NM_001310137	NPIPB11
NM_001355401	NPIPB12
NM_001321892	NPIPB13
NG_052915	NPIPB14P
NM_001018059	NPIPB15
	NPIPP1
NM_030769	NPL
NM_017921	NPLOC4
NG_028076	NPLP1
NM_002520	NPM1
	NPM1P1
	NPM1P2
NG_001163	NPM1P3
NG_011457	NPM1P4
	NPM1P5
	NPM1P6
	NPM1P7
	NPM1P8
	NPM1P9
	NPM1P10
	NPM1P11
	NPM1P12
	NPM1P13
NG_000885	NPM1P14
	NPM1P15
	NPM1P16
	NPM1P17
NG_001232	NPM1P18
	NPM1P19
	NPM1P20
	NPM1P21
	NPM1P22
	NPM1P23
NG_025446	NPM1P24
NG_022156	NPM1P25
NG_025538	NPM1P26
NG_024611	NPM1P27
NG_022222	NPM1P28
NG_025640	NPM1P29
	NPM1P30
NG_022193	NPM1P31
NG_021520	NPM1P32
NG_021548	NPM1P33
NG_022699	NPM1P34
NG_021821	NPM1P35
NG_022300	NPM1P36
NG_025830	NPM1P37
NG_022318	NPM1P38
NG_022773	NPM1P39
NG_022825	NPM1P40
NG_025136	NPM1P41
NG_022113	NPM1P42
NG_025336	NPM1P43
NG_026109	NPM1P44
NG_026145	NPM1P45
NG_021545	NPM1P46
NG_022111	NPM1P47
NG_021491	NPM1P48
NG_026690	NPM1P49
NG_030170	NPM1P50
NG_022355	NPM1P51
NG_026123	NPM1P52
NM_182795	NPM2
NM_006993	NPM3
	NPMP1
	NPMP2
	NPMP3
	NPMP4
	NPMP5
	NPMP6
	NPMP7
NM_198278	NPNT
	NPNT-AS1
NM_006172	NPPA
	NPPA-AS1
NM_002521	NPPB
NM_024409	NPPC
	NPPS
NM_000906	NPR1
	NPR2
NM_000908	NPR3
	NPRA
	NPRB
	NPRC
NM_006545	NPRL2
NM_001039476	NPRL3
NM_001030013	NPS
	NPS1
NM_207173	NPSR1
NR_015356	NPSR1-AS1
	NPT1
	NPT2
NM_012428	NPTN
NR_103844	NPTN-IT1
	NPTX1
NM_002523	NPTX2
NM_014293	NPTXR
NM_022150	NPVF
NM_001099456	NPW
NM_000905	NPY
	NPY1R
NM_000910	NPY2R
	NPY2R-AS1
NM_005972	NPY4R
NM_001278795	NPY4R2
NM_006174	NPY5R
	NPY6R
	NQO1
	NQO1-AS1
	NQO1-DT
	NQO2
	NQO2-AS1
	NR1D1
	NR1D2
	NR1H1
	NR1H2
	NR1H2-AS1
	NR1H3
NM_005123	NR1H4
NG_007471.1	NR1H5P
	NR1I2
	NR1I3
	NR1I4
NM_003297	NR2C1
NM_003298	NR2C2
NM_176880	NR2C2AP
	NR2E1
NM_014249	NR2E3
NM_005654	NR2F1
NR_021490	NR2F1-AS1
	NR2F2
XR_109225	NR2F2-AS1
	NR2F6
	NR3C1
	NR3C1P1
	NR3C2
	NR3C2-AS1
	NR3C2-DT
	NR4A1
	NR4A1AS
	NR4A2
	NR4A3
NM_004959	NR5A1
	NR5A2
	NR6A1
NR_026955	NRAD1
NR_024046	NRADDP
	NRAL
	NRAMP1
	NRAMP2
NM_006175	NRAP
NM_001004354	NRARP
NM_002524	NRAS
	NRASL1
	NRASL2
	NRASL3
NR_038854	NRAV
NM_000475	NR0B1
	NR0B2
NM_030759	NRBF2
	NRBF2P1
	NRBF2P2
	NRBF2P3
	NRBF2P4
NG_006646	NRBF2P5
NG_006644	NRBF2P6
NM_013392	NRBP1
NM_178564	NRBP2
NM_001037132	NRCAM
NM_002525	NRDC
NM_017970	NRDE2
NM_004772	NREP
	NREP-AS1
	NREPP1
	NREPP2
NM_001040110	NRF1
	NRG1
	NRG1-IT1
	NRG1-IT2
	NRG1-IT3
NM_013982	NRG2
NM_001010848	NRG3
	NRG3-AS1
NM_138573	NRG4
NM_006176	NRGN
	NRGN-AS1
NM_003489	NRIP1
NM_031474	NRIP2
NM_020645	NRIP3
	NRIP3-DT
NR_126359	NRIR
NM_198465	NRK
	NRL
	NRM
	NRN1
NM_198443	NRN1L
NR_045006	NRON
	NRP1
	NRP2
	NRP2-AS1
	NRPB
NM_198565	NRROS
NM_080723	NRSN1
NM_024958	NRSN2
NR_109990	NRSN2-AS1
NM_004558	NRTN
NM_001135659	NRXN1
	NRXN1-DT
NM_015080	NRXN2
	NRXN2-AS1
NM_001105250	NRXN3
	NRXN3-AS1
	NRXN3-AS2
	NRXN3-AS3
	NRXN4
	NS1
NM_014886	NSA2
NG_027032	NSA2P1
NG_021697	NSA2P2
NG_022683	NSA2P3
NG_025323	NSA2P4
NG_023629	NSA2P5
NG_025178	NSA2P6
NG_023944	NSA2P7
NM_172349	NSD1
NM_133330	NSD2
NM_023034	NSD3
NM_015922	NSDHL
NM_006178	NSF
NM_016143	NSFL1C
	NSFP1
	NSG1
NM_015980	NSG2
	NSG2-AS1
NM_015471	NSL1
NM_003580	NSMAF
NM_145080	NSMCE1
NR_037184	NSMCE1-DT
NM_173685	NSMCE2
NM_138704	NSMCE3
NM_017615	NSMCE4A
NM_015537	NSMF
	NSP
NM_032141	NSRP1
NG_022784	NSRP1P1
NM_017755	NSUN2
NM_022072	NSUN3
NM_199044	NSUN4
NM_148956	NSUN5
NR_033322	NSUN5P1
NR_033323	NSUN5P2
NM_182543	NSUN6
NM_024677	NSUN7
	NSUN7-AS1
	NSX
	NT3
	NT5C
NM_032526	NT5C1A
	NT5C1B
NM_001199103.1	NT5C1B-RDH14
NM_012229	NT5C2
NM_016489	NT5C3A
NG_000948	NT5C3AP1
	NT5C3AP2
NM_052935	NT5C3B
	NT5CP1
NG_002599	NT5CP2
	NT5CP3
NM_152729	NT5DC1
NG_022624	NT5DC1P1
NG_022705	NT5DC1P2
NM_022908	NT5DC2
NM_016575	NT5DC3
NM_001350494	NT5DC4
	NT5E
	NT5ELP
	NT5M
NM_173474	NTAN1
NG_025462	NTAN1P1
NG_026048	NTAN1P2
NG_024031	NTAN1P3
NM_018024	NTAQ1
	NTF3
NM_006179	NTF4
	NTF6A
	NTF6B
	NTF6G
NM_002528	NTHL1
NM_016522	NTM
NR_126159	NTM-AS1
	NTM-AS2
	NTM-AS3
	NTM-AS4
	NTM-IT
	NTM-IT1
	NTM-IT2
NM_014064	NTMT1
NM_001136107	NTMT2
	NTN1
NM_006181	NTN3
NM_021229	NTN4
NM_145807	NTN5
NM_014917	NTNG1
NM_032536	NTNG2
NM_032324	NTPCR
	NTRAS
NM_002529	NTRK1
	NTRK2
	NTRK3
NR_038229	NTRK3-AS1
	NTRK4
	NTRKR1
	NTRKR2
	NTRKR3
	NTS
	NTSR1
	NTSR1-AS1
	NTSR2
NM_014840	NUAK1
NM_030952	NUAK2
NM_016118	NUB1
NM_002484	NUBP1
NM_012225	NUBP2
NM_025152	NUBPL
	NUBPL-DT
NM_006184	NUCB1
	NUCB1-AS1
NM_005013	NUCB2
NM_022731	NUCKS1
	NUCKS1P1
	NUDC
NM_032869	NUDCD1
NM_145266	NUDCD2
NM_015332	NUDCD3
NG_001230	NUDCP1
NG_001229	NUDCP2
NM_002452	NUDT1
NM_001161	NUDT2
	NUDT3
NM_019094	NUDT4
NM_001355407	NUDT4B
NR_104005	NUDT4P2
	NUDT5
	NUDT5P1
NM_007083	NUDT6
	NUDT7
NM_181843	NUDT8
	NUDT9
	NUDT9P1
NM_153183	NUDT10
	NUDT11
NM_031438	NUDT12
NM_015901	NUDT13
NM_177533	NUDT14
NM_018283	NUDT15
	NUDT15P1
	NUDT15P2
NM_152395	NUDT16
NR_038976	NUDT16-DT
NM_032349	NUDT16L1
NR_027766	NUDT16L2P
NM_001012758	NUDT17
NM_024815	NUDT18
NM_001105570	NUDT19
	NUDT19-DT
	NUDT19P1
	NUDT19P2
	NUDT19P3
	NUDT19P4
	NUDT19P5
	NUDT19P6
