miRNA	gene	support type	miR_disease_num	gene_disease_num	label	MISIM_value
hsa-let-7c	CDC25A	TargetScan;miRDB;miRTarBase	77	105	1	0.6616955125379501
hsa-let-7c	CEBPB	miRTarBase	77	182	1	0.715620519336122
hsa-let-7c	COPS6	miRTarBase;miRWalk	77	34	1	0.2431174874360536
hsa-let-7c	COPS8	miRDB;miRTarBase	77	13	1	0.2512564041161431
hsa-let-7c	CORO1C	miRTarBase	77	40	1	0.3090212553998099
hsa-let-7c	GPS1	miRTarBase	77	12	1	0.1947836354031658
hsa-let-7c	HMGA2	TargetScan;miRDB;miRTarBase;miRWalk	77	382	1	0.6646023914359761
hsa-let-7c	HSPA4	miRTarBase;miRWalk	77	550	1	0.6523823175354966
hsa-let-7c	IGF1R	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	77	556	1	0.7209552699971835
hsa-let-7c	IL10	TargetScan;miRDB;miRTarBase	77	1679	1	0.4990969561529178
hsa-let-7c	IL6	miRDB;miRTarBase	77	2367	1	0.5134772782699027
hsa-let-7c	MAP4K3	TargetScan;miRDB;miRTarBase	77	29	1	0.3062334014168329
hsa-let-7c	MTOR	miRTarBase	77	960	1	0.6630850560221808
hsa-let-7c	MYC	miRTarBase;miRWalk	77	821	1	0.6518520957858306
hsa-let-7c	NRAS	TargetScan;miRDB;miRTarBase;miRWalk	77	611	1	0.6206932099259946
hsa-let-7c	PBX2	TargetScan;miRTarBase;miRWalk	77	29	1	0.1854324018964711
hsa-let-7c	PBX3	TargetScan;miRTarBase;miRWalk	77	60	1	0.3748386899023279
hsa-let-7c	PGC	miRTarBase	77	83	1	0.3759205726828464
hsa-let-7c	RICTOR	TargetScan;miRDB;miRTarBase;miRWalk	77	82	1	0.4670530926805296
hsa-let-7c	SNHG16	miRTarBase	77	59	1	0.328691783509501
hsa-let-7c	TGFBR1	TargetScan;miRTarBase;miRWalk	77	347	1	0.6763608745298122
hsa-let-7c	TNFRSF10B	miRTarBase;miRWalk	77	179	1	0.663489571376579
hsa-let-7c	TRIB2	TargetScan;miRDB;miRTarBase	77	56	1	0.6933862985723439
hsa-let-7c	TRIM71	TarBase;TargetScan;miRDB;miRTarBase	77	11	1	0.1675370940158584
hsa-let-7c	WNT9A	TargetScan;miRTarBase;miRWalk	77	17	1	0.2864174836084153
hsa-let-7d	AGO1	TargetScan;miRTarBase;miRWalk	78	48	1	0.3964010470593488
hsa-let-7d	BACH1	TargetScan;miRDB;miRTarBase;miRWalk	78	86	1	0.6078893484457826
hsa-let-7d	CD274	miRTarBase;miRWalk	78	1011	1	0.6321798470644131
hsa-let-7d	DICER1	TargetScan;miRTarBase;miRWalk	78	302	1	0.725175808916311
hsa-let-7d	HMGA2	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	78	382	1	0.6903111832130968
hsa-let-7d	IL13	TargetScan;miRDB;miRTarBase;miRWalk	78	587	1	0.6379620846168149
hsa-let-7d	OPRM1	miRTarBase;miRWalk	78	370	1	0.4659854831341937
hsa-let-7d	OLR1	TargetScan;miRTarBase;miRWalk	78	133	1	0.51644446574716
hsa-let-7d	SLC11A2	miRTarBase;miRWalk	78	99	1	0.4495268555730694
hsa-let-7d	TNFRSF10B	miRTarBase;miRWalk	78	179	1	0.7174666163569445
hsa-let-7e	AGO1	TarBase;TargetScan;miRTarBase;miRWalk	50	48	1	0.3541296615947533
hsa-let-7e	ARID3A	TargetScan;miRDB;miRTarBase;miRWalk	50	31	1	0.1598937032572726
hsa-let-7e	AURKB	TarBase;miRDB;miRTarBase;miRWalk	50	161	1	0.6766845943509908
hsa-let-7e	CCND1	TargetScan;miRDB;miRTarBase;miRWalk	50	859	1	0.5974905040378529
hsa-let-7e	CCR7	TargetScan;miRTarBase;miRWalk	50	320	1	0.6282605101277986
hsa-let-7e	COPS6	miRTarBase	50	34	1	0.335812701936161
hsa-let-7e	COPS8	miRTarBase;miRWalk	50	13	1	0.2493001946632594
hsa-let-7e	EZH2	miRTarBase	50	653	1	0.5924118332729118
hsa-let-7e	FASLG	TargetScan;miRTarBase;miRWalk	50	398	1	0.531120817064247
hsa-let-7e	GPS1	miRTarBase	50	12	1	0.2129292038422761
hsa-let-7e	HMGA2	TargetScan;miRDB;miRTarBase;miRWalk	50	382	1	0.6456420936875065
hsa-let-7e	IGF1	TargetScan;miRDB;miRTarBase;miRWalk	50	1207	1	0.512852101739142
hsa-let-7e	IGF1R	TargetScan;miRDB;miRTarBase;miRWalk	50	556	1	0.5928291219577613
hsa-let-7e	LIN28A	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	50	161	1	0.5549506437762933
hsa-let-7e	MMP9	miRTarBase;miRWalk	50	1337	1	0.5006191540057691
hsa-let-7e	MYCN	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	50	314	1	0.5188508295781875
hsa-let-7e	SMC1A	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	50	251	1	0.5080217694998835
hsa-let-7e	SNHG12	miRTarBase	50	50	1	0.3423302568870215
hsa-let-7e	SYT7	TargetScan;miRTarBase;miRWalk	50	33	1	0.3085007479287994
hsa-let-7e	TNFRSF10B	miRTarBase;miRWalk	50	179	1	0.6811168690733844
hsa-let-7e	UBQLN4	miRTarBase;miRWalk	50	11	1	0.275231663671733
hsa-let-7e	WNT1	TargetScan;miRTarBase;miRWalk	50	216	1	0.6827917227754144
hsa-let-7f	AGO1	TargetScan;miRTarBase;miRWalk	59	48	1	0.2326911279945397
hsa-let-7f	CCL7	TarBase;TargetScan;miRDB;miRTarBase	59	124	1	0.6641415677781449
hsa-let-7f	CCND1	TarBase;TargetScan;miRDB;miRTarBase	59	859	1	0.720322075720095
hsa-let-7f	COPS6	miRTarBase	59	34	1	0.2423327688356986
hsa-let-7f	COPS8	miRTarBase	59	13	1	0.2499841618046287
hsa-let-7f	CYP19A1	TargetScan;miRTarBase;miRWalk	59	519	1	0.7069584857172355
hsa-let-7f	DYRK2	TarBase;TargetScan;miRTarBase;miRWalk	59	35	1	0.3630407741481723
hsa-let-7f	EDN1	TargetScan;miRDB;miRTarBase;miRWalk	59	680	1	0.7078319014626654
hsa-let-7f	ELF4	TarBase;TargetScan;miRDB;miRTarBase	59	45	1	0.4590558610439619
hsa-let-7f	GPS1	miRTarBase	59	12	1	0.1934355044787276
hsa-let-7f	IL13	TargetScan;miRDB;miRTarBase;miRWalk	59	587	1	0.6436526871519178
hsa-let-7f	IL6	miRDB;miRTarBase	59	2367	1	0.5215590264168927
hsa-let-7f	KLK10	TargetScan;miRTarBase	59	70	1	0.5328038822724078
hsa-let-7f	KLK6	miRTarBase	59	99	1	0.5251793455894715
hsa-let-7f	MYH9	miRTarBase	59	197	1	0.6284920615717333
hsa-let-7f	PRDM1	TarBase;TargetScan;miRTarBase	59	126	1	0.5894869439750069
hsa-let-7f	SOCS3	TarBase;miRTarBase;miRWalk	59	375	1	0.6904178635050828
hsa-let-7f-2	XPO1	miRTarBase	3	178	1	0.1596715429151143
hsa-let-7g	AGO1	TargetScan;miRTarBase;miRWalk	54	48	1	0.2759924792113862
hsa-let-7g	AKT2	TargetScan;miRTarBase;miRWalk	54	264	1	0.5551423311822692
hsa-let-7g	BCL2L1	TargetScan;miRDB;miRTarBase;miRWalk	54	212	1	0.6606100658763482
hsa-let-7g	BMI1	miRTarBase	54	309	1	0.6353985727918899
hsa-let-7g	CDKN2A	miRTarBase	54	1314	1	0.5269534620106143
hsa-let-7g	COL1A2	TargetScan;miRDB;miRTarBase	54	271	1	0.4535725655905561
hsa-let-7g	FN1	miRTarBase	54	724	1	0.4993792087432869
hsa-let-7g	GAB2	TargetScan;miRTarBase;miRWalk	54	110	1	0.4819288364314797
hsa-let-7g	HMGA2	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	54	382	1	0.631643547996604
hsa-let-7g	HOXB1	TargetScan;miRTarBase;miRWalk	54	59	1	0.4137628069955018
hsa-let-7g	IGF2BP1	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	54	106	1	0.6320445575157511
hsa-let-7g	IL13	TargetScan;miRDB;miRTarBase;miRWalk	54	587	1	0.4461883838377986
hsa-let-7g	KRAS	miRTarBase;miRWalk	54	1213	1	0.5422276658954556
hsa-let-7g	MMP16	miRTarBase;miRWalk	54	58	1	0.4784859572727218
hsa-let-7g	MYC	miRTarBase	54	821	1	0.5485695121909278
hsa-let-7g	TNFRSF10B	miRTarBase;miRWalk	54	179	1	0.6833272995682258
hsa-let-7i	AGO1	TargetScan;miRTarBase;miRWalk	63	48	1	0.3588021600143619
hsa-let-7i	ASCL1	miRTarBase	63	136	1	0.591286255313814
hsa-let-7i	BMP4	miRTarBase;miRWalk	63	423	1	0.5460372297511048
hsa-let-7i	COPS6	miRTarBase	63	34	1	0.3309433261567929
hsa-let-7i	COPS8	miRTarBase;miRWalk	63	13	1	0.2739975896904823
hsa-let-7i	GPS1	miRTarBase	63	12	1	0.1758698204361457
hsa-let-7i	IGF1	TargetScan;miRDB;miRTarBase;miRWalk	63	1207	1	0.5376573036218677
hsa-let-7i	IL13	TargetScan;miRDB;miRTarBase;miRWalk	63	587	1	0.571040300494304
hsa-let-7i	LEF1	miRTarBase;miRWalk	63	211	1	0.4933509385354973
hsa-let-7i	NEUROG1	miRTarBase	63	41	1	0.4361087831080254
hsa-let-7i	NTRK3	miRTarBase;miRWalk	63	150	1	0.542168358931138
hsa-let-7i	PRMT1	miRTarBase	63	110	1	0.6393403535538548
hsa-let-7i	SOCS1	TargetScan;miRTarBase	63	315	1	0.6572248536892488
hsa-let-7i	STAT1	miRTarBase;miRWalk	63	531	1	0.5590233945030837
hsa-let-7i	TLR4	miRTarBase;miRWalk	63	1174	1	0.5331412979913117
hsa-miR-1	ADAR	TargetScan;miRDB;miRTarBase;miRWalk	257	256	1	0.6169246977002567
hsa-miR-1	AGO1	TargetScan;miRTarBase;miRWalk	257	48	1	0.2522574420795334
hsa-miR-1	ANXA2	TargetScan;miRDB;miRTarBase	257	294	1	0.7653131731460632
hsa-miR-1	API5	TarBase;miRDB;miRTarBase	257	29	1	0.2922214407340798
hsa-miR-1	ASPH	TargetScan;miRTarBase;miRWalk	257	69	1	0.3079042005553619
hsa-miR-1	ATP6V1B2	TarBase;TargetScan;miRDB;miRTarBase	257	101	1	0.1611063701232887
hsa-miR-1	BDNF	TargetScan;miRDB;miRTarBase	257	992	1	0.7915945369046652
hsa-miR-1	CAND1	TargetScan;miRDB;miRTarBase	257	22	1	0.1778801110622993
hsa-miR-1	CCL2	miRDB;miRTarBase	257	1157	1	0.8769947871097078
hsa-miR-1	CCND1	TargetScan;miRDB;miRTarBase;miRWalk	257	859	1	0.8146398677370831
hsa-miR-1	CDK4	TargetScan;miRTarBase	257	433	1	0.6967043572288583
hsa-miR-1	CEBPA	miRTarBase	257	201	1	0.5617708314577912
hsa-miR-1	CNN3	TarBase;TargetScan;miRDB;miRTarBase	257	33	1	0.3533108854566577
hsa-miR-1	CORO1C	TargetScan;miRDB;miRTarBase;miRWalk	257	40	1	0.3000330737538154
hsa-miR-1	COX1	miRTarBase	257	421	1	0.6959518025664284
hsa-miR-1	CXCR4	TargetScan;miRTarBase	257	739	1	0.8774358153338223
hsa-miR-1	EDN1	TarBase;TargetScan;miRDB;miRTarBase	257	680	1	0.8597071521314154
hsa-miR-1	ETS1	TargetScan;miRDB;miRTarBase;miRWalk	257	327	1	0.6984277637987559
hsa-miR-1	FABP3	miRTarBase	257	95	1	0.5554055377223671
hsa-miR-1	FASN	miRTarBase	257	245	1	0.7502167993257289
hsa-miR-1	FN1	TarBase;TargetScan;miRDB;miRTarBase	257	724	1	0.7913399918198164
hsa-miR-1	FOXP1	TargetScan;miRDB;miRTarBase	257	317	1	0.6775958760090057
hsa-miR-1	FRS2	TargetScan;miRDB;miRTarBase	257	55	1	0.2910535541984281
hsa-miR-1	FZD7	TargetScan;miRTarBase	257	70	1	0.4893689281580876
hsa-miR-1	G6PD	TarBase;TargetScan;miRDB;miRTarBase	257	410	1	0.7097189557583259
hsa-miR-1	GATA4	miRTarBase	257	336	1	0.7086599765357267
hsa-miR-1	GJA1	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	257	662	1	0.8326218425302683
hsa-miR-1	GNA12	miRTarBase;miRWalk	257	130	1	0.5410567747459172
hsa-miR-1	GPD2	TarBase;TargetScan;miRTarBase;miRWalk	257	38	1	0.349201755588002
hsa-miR-1	HCN2	TarBase;miRTarBase	257	46	1	0.323106239240887
hsa-miR-1	HCN4	miRTarBase	257	71	1	0.2013141283393878
hsa-miR-1	HDAC4	TargetScan;miRDB;miRTarBase;miRWalk	257	256	1	0.6838726387227876
hsa-miR-1	HSPA4	miRTarBase;miRWalk	257	550	1	0.8307797849282488
hsa-miR-1	HSPD1	TargetScan;miRDB;miRTarBase	257	398	1	0.8084784312333957
hsa-miR-1	IGF1	TargetScan;miRDB;miRTarBase	257	1207	1	0.8432205695155501
hsa-miR-1	IL11	miRTarBase;miRWalk	257	244	1	0.6680860117942834
hsa-miR-1	KCNE1	miRTarBase;miRWalk	257	95	1	0.4030686557415976
hsa-miR-1	KCNJ2	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	257	117	1	0.3423266239145801
hsa-miR-1	KIF2A	TargetScan;miRDB;miRTarBase;miRWalk	257	81	1	0.3843529035740635
hsa-miR-1	KRAS	TargetScan;miRDB;miRTarBase;miRWalk	257	1213	1	0.7228469269429039
hsa-miR-1	LARP4	TarBase;TargetScan;miRTarBase;miRWalk	257	14	1	0.2011545670190996
hsa-miR-1	LASP1	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	257	85	1	0.4029550556377278
hsa-miR-1	MEF2A	miRTarBase;miRWalk	257	99	1	0.5935647464746876
hsa-miR-1	MET	TargetScan;miRTarBase	257	594	1	0.8067856699295636
hsa-miR-1	NAIP	miRTarBase;miRWalk	257	53	1	0.4450514732890693
hsa-miR-1	ND1	miRTarBase	257	260	1	0.4962942234257591
hsa-miR-1	NEAT1	miRTarBase	257	179	1	0.7303683625401249
hsa-miR-1	NOTCH3	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	257	418	1	0.6740295260000086
hsa-miR-1	PAX3	TargetScan;miRTarBase;miRWalk	257	257	1	0.5075931443501954
hsa-miR-1	PGD	TarBase;TargetScan;miRTarBase	257	86	1	0.4628929480894743
hsa-miR-1	PIK3CA	TarBase;miRTarBase;miRWalk	257	1511	1	0.8514161068996344
hsa-miR-1	PIM1	miRTarBase	257	224	1	0.682753870872273
hsa-miR-1	PNP	TarBase;TargetScan;miRTarBase	257	161	1	0.5591290106343949
hsa-miR-1	PPP2R5A	TargetScan;miRDB;miRTarBase;miRWalk	257	9	1	0.1114809921087974
hsa-miR-1	PRKCE	TargetScan;miRTarBase;miRWalk	257	112	1	0.6456925362315836
hsa-miR-1	PTBP1	TargetScan;miRDB;miRTarBase;miRWalk	257	172	1	0.635271207207594
hsa-miR-1	PTMA	TarBase;TargetScan;miRTarBase	257	71	1	0.4699190094027811
hsa-miR-1	SERP1	TargetScan;miRDB;miRTarBase	257	20	1	0.2351615274409985
hsa-miR-1	SLC8A1	TargetScan;miRDB;miRTarBase;miRWalk	257	146	1	0.6518622163384717
hsa-miR-1	SNAI2	TargetScan;miRDB;miRTarBase	257	189	1	0.6092591690895448
hsa-miR-1	SOX6	TargetScan;miRTarBase	257	105	1	0.5046324480993213
hsa-miR-1	SOX9	TarBase;TargetScan;miRDB;miRTarBase	257	466	1	0.7750209878339838
hsa-miR-1	SP1	TargetScan;miRTarBase;miRWalk	257	209	1	0.75983106734791
hsa-miR-1	SPRED1	TargetScan;miRTarBase;miRWalk	257	58	1	0.3010491496431265
hsa-miR-1	STAR	miRTarBase	257	177	1	0.5806578051913058
hsa-miR-1	TAGLN2	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	257	64	1	0.394407048128021
hsa-miR-1	TH	miRTarBase	257	321	1	0.6364775277032146
hsa-miR-1	TKT	TarBase;TargetScan;miRTarBase	257	92	1	0.3982511154883236
hsa-miR-1	TWF1	TargetScan;miRDB;miRTarBase	257	13	1	0.1206747888807606
